Question#,Passage_Name,Reference_Passage_Section,Key,Difficulty,Avg_Score,Proportion_Correct,Stem,A,B,C,D,Question ID,Description,Grade,Year,Block ID,Seq#,Type,NAEP ID,Contexts for Reading (1992-2007),Aspects of Reading (1992-2007),Content Area (2009 and on),Cognitive Target (2009 and on)
1,[1],Page 3,C,1,276,0.74,"1. On page 3, when the author mentions the possibility of people turning into puritans, she is using this word to refer to people who",lived a long time ago,rarely make a mistake,are serious and reserved,dress in plain and dark clothing,2013-8R4,Recognize meaning of word as used in persuasive essay,8,2013,8R4,2,MC,R060302,NoAsign,NoAsign,Informational,Integrate/Interpret
2,[1],Page 3,A,1,272,0.79,"2. At the beginning of the essay, the author suggests that people are so concerned with having fun that they",try to find fun in all their experiences,spend a lot of money trying to have fun,join groups to learn how to have fun,avoid new experiences that may not be fun,2013-8R4,Interpret opening paragraphs to recognize main idea,8,2013,8R4,3,MC,R060304,NoAsign,NoAsign,Informational,Integrate/Interpret
3,[1],Page 3;Page 4,B,2,281,0.52,3. What is the author's point about big occasions like holidays?,They go by too quickly to be enjoyed.,They are not as much fun as people expect them to be.,They have become too centered around money.,They help us to appreciate the important events in life.,2013-8R4,Recognize implicit supporting idea in persuasive essay,8,2013,8R4,5,MC,R060303,NoAsign,NoAsign,Informational,Integrate/Interpret
4,[1],Page 3;Page 4,C,1,277,0.63,4. The author assumes that the people reading her essay,probably had fun going to amusement parks as children,prefer dangerous experiences over fun activities,may be worried that they are not having enough fun,enjoy discussing the topic of fun,2013-8R4,Recognize assumption related to author's point of view in persuasive essay,8,2013,8R4,7,MC,R060307,NoAsign,NoAsign,Informational,Integrate/Interpret
5,[1],Page 4,B,2,280,0.49,"5. On page 4, when the author tells us to ""treat fun reverently,"" she is encouraging us to",look forward to having fun,have great respect for fun,teach others how to have fun,have fun less frequently,2013-8R4,Recognize meaning of word as used in persuasive essay,8,2013,8R4,8,MC,R060308,NoAsign,NoAsign,Informational,Integrate/Interpret
6,[1],Page 3,D,1,280,0.61,"The following paragraph is from the essay.

     Think of all the things that got the reputation of being fun.
Family outings were supposed to be fun. Education was supposed to be fun. Work was supposed to be fun. Walt Disney was supposed to be fun. Church was supposed to be fun.
Staying fit was supposed to be fun. 

6. What is the author implying in this paragraph?",It is possible to have fun in a wide range of activities.,A person's reputation is based on how much fun the person has.,Most daily activities are less important than we think.,We should not expect everything in life to be fun.,2013-8R4,Recognize generalization of main idea of persuasive essay based on one paragraph,8,2013,8R4,10,MC,R060310,NoAsign,NoAsign,Informational,Integrate/Interpret
7,[2],Page 2;Page 3;Page 4,D,1,273,0.62,7. What is the main purpose of the article?,To explain why the aquarium released the white shark,To compare white sharks with other fish living in captivity,To argue that white sharks should be studied more,To describe how one white shark survived living in an aquarium,2013-8R8,Recognize main purpose of article,8,2013,8R8,1,MC,R059101,NoAsign,NoAsign,Informational,Integrate/Interpret
8,[2],Page 2,B,1,271,0.92,"8. On page 2, when John O'Sullivan says the baby white shark is fascinating, he means that she",was swimming very fast,was very interesting to watch,could swim better than other sharks,liked to perform for aquarium visitors,2013-8R8,Recognize meaning of a word as used in an article,8,2013,8R8,2,MC,R059102,NoAsign,NoAsign,Informational,Integrate/Interpret
9,[2],Page 2;Page 3;Page 4,C,1,276,0.75,"9. According to the article, why has it been difficult to keep white sharks in captivity?",They grow too quickly.,They escape from the outer tank.,They do not eat.,They need very large tanks.,2013-8R8,Make an inference based on explicitly stated information,8,2013,8R8,3,MC,R059103,NoAsign,NoAsign,Informational,Locate/Recall
10,[2],Page 2,A,1,271,0.95,"10. On page 2, when the article says that the baby shark had been caught accidentally, this means that",the fisherman was not trying to catch a shark,the shark was hurt while it was being caught,the fisherman had used a special floating pen,the shark had bumped into the fishing boat,2013-8R8,Recognize meaning of word as used in an article,8,2013,8R8,4,MC,R059104,NoAsign,NoAsign,Informational,Integrate/Interpret
